reviewerName,reviewText,overall,verified,reviewTime
Ulises,"These tips are overly expensive and not effective. I purchased these to attempt to help my SoundTrue headphones achieve noise isolation. The tips barely fit in my ear canal, fall off often, and fails to create the necessary seal for sound isolation. Do not recommend",1,True,"04 12, 2016"
mitchradio,This is a great Deal and the drives are flawless. Will buy more when these are gone! I am a Radio broadcaster and when we have a guest on air they always want a copy of the show and this is a great takeaway for clients to store the audio files.,5,True,"01 8, 2018"
Scuderia Ferrari,"I purchased this and had to return it.  Could not get it to work to view on iphone, etc.  I have another dvr hooked up to the same router and works perfectly fine.  Customer service tried to troubleshoot it but was unsuccessful and told me that they would call me back to figure out the problem.  Never heard from them again.

In terms of overall quality, very cheap.  When viewing live footage on my mac, the resolution was terrible and there's no way to adjust it.  I called customer service yet again and they could not help as there were no adjustments.

Even at 100.00, it's not worth it.",1,False,"07 12, 2012"
Shackle Rustyford,"These are 7 years old as indicated by the expiration date on the included wrapping on the batteries. The description clearly states 10 year shelf life, but what I learned is 7 of those years are already used up. Very disappointed.",1,True,"03 21, 2016"
Bryan,"I have a Delco Bose system in my 2004 Suburban and this thing worked well out of the box. It's really simple. Looking at the instructions really is not necessary. If I have any complaints using it with my Gen5 Vid iPod, output volume is weak and non-adjustable. A lot like a weak station on the dial. I have to really crank the radio volume in order to hear the iPod properly and if I switch to CD or another radio station while forgetting to turn down volume......BOOM! Blasting volume shatters my audio harmony. The instructions don't really cover trobleshooting or anything like that. Just how to set freq, stereo or mono and thats about it.",3,True,"01 19, 2007"
B. Mann,"I thought I would love this key, and I do on my keychain, but when inserted to a computer, you must take off keychain, which defeats the whole purpose, or it will be loose and fall out, or worse, on two occasions, erase everything on the stick without warning.  I no longer use it, and have found something even better.",2,True,"04 6, 2013"
Andromeda,"It was not easy to pair with my phone/app. It is very confusing and not user friendly. The screen is not well laid out and difficult to operate. The tiny numbers with information given in almost text like quality layout is not what I wanted at all. This reminded me first tech coming out in 1990s: not user friendly, awkward, but different and new. I think in an age of smartwatch, this design seems ridiculously primitive and not user friendly.",2,False,"01 17, 2018"
Stoney End,Works fine in game camera and general camera.. Good value.,4,True,"03 1, 2017"
DJ Buddy - Bud Fleisher,Works as it should,4,True,"08 10, 2015"
Lorraine,Exactly what I need!,5,True,"01 11, 2016"
Gary White,"This widget performs perfectly.  I have my PS3 and PS4 set up to the same monitor.  It automatically switches the signal, I've never had to hit the button or fiddle with it at all. Would recommend.",5,True,"09 2, 2014"
Kamilla Dancy,I am enjoying my bag.  I have received many compliments on my bag.,5,True,"01 21, 2016"
J. Bretz,"Took a bit to get the correct setup but these ear buds are really good. Didn't necessarily buy these for the sound quality but they sound great-probably better under the water and certainly as good as my ""dry earbuds"". Recommend these!",5,True,"11 28, 2013"
blackhawkjohn,"Seriously, I don't know what Chinese chemicals they use when they anodize aluminum, but when I took it out of the package I almost gagged! In fact, I set this bracket outside for a WEEK to let it air out. Eventually, I bead-blasted it and painted it...now it's useful. I won't be buying another!",1,True,"03 22, 2014"
Alex,I bought this adaptor and the installation is easy and doesn't need to modify the original installation. I connected with my Android smartphone and the sound is good (if comparing with a FM transmitter is MUCH better).,4,True,"01 3, 2014"
Amazon Customer,My husband loves his new mouse.,5,True,"06 1, 2017"
Scott,I have not tested for audio quality as my amp has not arrived. I am posting this to let Honda Pioneer 1000 owners know that these will mount to the roof railing with 2 pieces of the rubber filler on each side. Mounted mine in the middle section behind drivers seat facing downwards at the outermost edges which made them easy to tighten since I have the roof and access to the screws is difficult without removal. I will update as the work progresses.,4,True,"09 27, 2016"
franco angello da motta,Excelent!!!,5,True,"07 19, 2014"
Ricardo Javier Torres Leal,I recommend,5,True,"05 15, 2015"
Sheepsrkool,"Will be returning. Doesn't write well, requires high pressure, skips writing constantly, save your money.",1,True,"01 15, 2015"
bubba,"Love these, and I have several. A bit bulky but a great and versatile item.",5,True,"05 18, 2016"
Bruce M Straka,Only use if your doing Macro,1,True,"01 26, 2015"
Jethro Bodine,"Got these from a big box store (the blue & yellow one) and like many here complained, the inline volume control is defective.  There's only 1 position on the slider where both ears have sound and it's a very small range near the top of the slider.  Any handling/bumping of the slider causes static and potential loss of sound on one side or the other.  If you were willing to put the volume slider in the exact position where the sound works on both sides and then wrap it with electrical tape so it can't move, then maybe these would be OK.  For a hundred bucks, I'm returning them.",1,False,"01 17, 2017"
Shooker,"this is a great blue ray player. only one..one minor thing i dislike other than that perfect. i only use it to stream youtube videos for the family to watch or to simply watch my movies. i don't have netflix or any of that so i cant comment on that. overall i like this player a lot

pros:
slim
speedy read and load times
easy easy set up
lots of nice little apps such as netflix and hulu+
the apple app is pretty nifty and very much in handy when inputting text, very very handy but.. (see cons)

cons:
youtube does not play official content, such as music videos from vevo.
same internet browser like the ps3; then again i never liked it
(cont' from pros) ...nifty app but you still need the remote to turn it on THEN you can use the app remote; itd be nice to be able to turn it on from the app as well",5,True,"12 12, 2011"
rabitt,i get these  because they do work well for the price,5,True,"09 25, 2016"
Chad,"Probably not a bad camera for the price, (I purchased a ""factory-refurbished"" unit) but setting up the remote-access (for me) is a pain. It will not connect to a Network Drive, so a computer connection is required, as-is leaving it ""on"" 24-7. Requires a static-IP address, which (in my case) is a ""extra-fee"" from the service-provider. (Century Link = $6/mo plus a $25 initial charge.) After several calls to HooToo Customer Support (they DO call back, and DO try to help, but...) it's still not working as advertised. The quality of the video, is ""fair to poor"". Further, the night-vision is nearly non-existent in a small room - almost nothing is visible in the dark.",3,True,"11 17, 2014"
C. Harding,"Sorry guys (sellers), but this product is no good. The original item received was DOA, the seller quickly sent me another after some troubleshooting which did not work. However the replacement fared the same fate. Magically, I found my original charger so all is well.",1,True,"09 9, 2011"
NJBill,I bought a few of other brands and this was the best one.  I used this in Sweden with no issues.,5,False,"12 4, 2015"
J. Kling,Amazingly fast. Beats last gen. Just upgraded from Ann i3 build to an x99 5820k build though. So it's massively different,5,True,"02 16, 2015"
Jason Self,Amazing light,5,True,"03 6, 2016"
Diesel,"Very nice fit options and very comfortable. Sound quality is really high grade. Excellent bass.
Only criticism is control box not as small as some other products but pound for pound this tops the lot. Solid product",5,True,"09 21, 2015"
Cathy Lorrah,Streaming 4k HD video from security cameras through the AV2000.  Plugged them in and expected to set the router up but they were already working. Pretty amazing stuff. I think the AV2000 transmit data between Hot/Gnd and Neutral/Gnd so they are 2x as fast as previous models. Ethernet connects at 1Gb/s but actual data rates through AC line are slower....still faster than I thought they would be,5,False,"02 17, 2017"
Timothy M.,"Great Life Cam Webcam, but does not work on my Windows 10. Good thing I have an older computer with Windows Vista, it works great with Windows Vista.",5,True,"03 11, 2016"
Jacob Romero,"Slick, Portable, great space. Can't complain. Had it for 8 months still works perfectly. I completely recommend this to anyone.",5,True,"09 12, 2016"
Count Me Out,"Speaker is smaller than I thought it would be.  The sound is OK.  It's better with the bass sounds than the treble sounds.  Best way for me to describe it is, music sounds flat or dull.  Opposite of what I would have thought.  I was expecting them to be more tinie.",3,True,"02 26, 2017"
DaSanti1,The pens are nice but I have to constantly twist the point back down to write. The tip keeps retracting.,3,True,"07 5, 2016"
Ultracer,I use this one in one of my ITX CM Elite 110 build. It's perfect for such small system.,5,True,"02 29, 2016"
Travis F,Worked Perfectly to run my A/V cables through my wall to my TV instead of having them visible.  Very easy install using an orange low voltage cut in box.,5,True,"01 11, 2016"
GM,"I love this remote. It works great, easy to program and has great range. If your looking for a inexpensive remote this one is the best out there.",5,True,"10 4, 2016"
winger2000se,This is the best blu tooth speaker with all the bells and whistles one would want. Excellent value for the price......,5,True,"12 23, 2016"
Amir S,"An adapter that actually works for 4k 60hz. This was my third adapter from Amazon. There are so many junk ones on Amazon it's not even funny. Most are deceptive too as they are labeled ""active"" but are NOT.
This one actually works.",5,True,"11 30, 2017"
Cory M Mohling,"Like the external storage to provide easier change of files and virtually unlimited memory that way. One complaint is with video replay. I put a video on it, and it displays a message saying the resolution had to be reduced from original format. I'm not sure how that warning message can be removed.",5,True,"06 1, 2016"
Erika H. Simons,Thank you!,5,True,"05 8, 2018"
Bruce,"Don't even try it if you are trying to hook an HP monitor digital port to your HDMI laptop port!  It doesn't work.  I don't know about other manufacturers but this doesn't work with an HP monitor that is sold as a corporate device (and, no, I didn't misappropriate it, it is still on the desk at work).  So, you'll have to find some other way to get HDMI to your HP company monitor.

And, since it doesn't work for that, I can't endorse it for any purpose.  But, you would think they could wire in compatibility for any digital video port.",1,True,"11 2, 2012"
Joseph Sanchez,"I did a lot of research for a good quality hard shell case for my Canon XA30. Not only did I find one but this case surpasses my expectations and is a Great case and Very well made and Very durable... It comes with 2-2"" Foam inserts that you can easily customize to fit your equipment perfectly, the lid does not fold back flat 180 however the case will not fall backwards like most less superior cases when the lid is open..
If you have expensive equipment then why trust a flimsy cheap case that will most likely fail when you least expect it and put your equipment in jeopardy, spend the extra money for a case that will protect your investment...",5,True,"02 5, 2016"
JenniferGrove89,"my brother p-touch label maker did not come with a cord (it was battery operated). I knew I wanted a charger as well, to save the batteries. it works well! make sure to pay attention to the models it works with!!",5,True,"12 20, 2015"
tigger,I bought these for meetings minutes.  Also for recording things said off of facebook.,5,True,"06 30, 2016"
Devil Dog,as expected,4,True,"02 10, 2017"
P. Olson,"Does the job - I have one of those ""hockey puck"" wireless chargers and it works but I have to find just the right spot. With this one I just plop the phone on and it charges. It also stays cooler. It should be noted though that like all wireless chargers it needs a 1 Amp or even better a 2 Amp charger to charge your phone in a reasonable amount of time. We use it on the night stand though so no big deal for us.",5,True,"04 27, 2016"
Nichole,"This was very inexpensive compared to whats in stores here. Also, it arrived two days after I purchased it. The product is great! We've already tested out the floaters! I would totally recommend this seller and product!",5,True,"06 4, 2015"
Zac,My 2012 Macbook Pro i7 boots in 18 seconds. Installed all adobe products in 7 minutes.,5,True,"02 15, 2016"
